ItemCode,Description,Unit,Quantity,UnitPrice,TotalPrice
ITEM0263,Construction work item ITEM0263,m2,16.29,597.37,9731.16
ITEM0264,Construction work item ITEM0264,hr,210.51,589.84,124167.22
ITEM0265,Construction work item ITEM0265,pcs,201.84,187.08,37760.23
ITEM0266,Construction work item ITEM0266,m2,21.49,161.13,3462.68
ITEM0267,Construction work item ITEM0267,hr,47.84,176.66,8451.41
ITEM0268,Construction work item ITEM0268,pcs,228.41,912.75,208481.23
ITEM0269,Construction work item ITEM0269,kg,153.55,422.18,64825.74
ITEM0270,Construction work item ITEM0270,hr,220.24,654.81,144215.35
ITEM0271,Construction work item ITEM0271,pcs,44.98,671.01,30182.03
ITEM0272,Construction work item ITEM0272,hr,226.33,907.15,205315.26
ITEM0273,Construction work item ITEM0273,m,90.24,247.51,22335.3
ITEM0274,Construction work item ITEM0274,kg,162.51,315.72,51307.66
ITEM0275,Construction work item ITEM0275,m,226.8,71.3,16170.84
ITEM0276,Construction work item ITEM0276,hr,47.67,163.18,7778.79
ITEM0277,Construction work item ITEM0277,m2,103.08,196.57,20262.44
ITEM0278,Construction work item ITEM0278,hr,240.78,854.45,205734.47
ITEM0279,Construction work item ITEM0279,m,72.11,629.41,45386.76
ITEM0280,Construction work item ITEM0280,m,160.36,127.05,20373.74
ITEM0281,Construction work item ITEM0281,kg,119.01,829.97,98774.73
ITEM0282,Construction work item ITEM0282,kg,104.82,75.88,7953.74
ITEM0283,Construction work item ITEM0283,hr,155.18,591.61,91806.04
ITEM0284,Construction work item ITEM0284,m,50.17,682.63,34247.55
ITEM0285,Construction work item ITEM0285,m,18.49,39.1,722.96
ITEM0286,Construction work item ITEM0286,kg,179.33,385.83,69190.89
ITEM0288,Construction work item ITEM0288,pcs,33.53,584.48,19597.61
ITEM0290,Construction work item ITEM0290,pcs,169.34,380.21,64384.76
ITEM0291,Construction work item ITEM0291,m2,228.59,759.04,173508.95
ITEM0292,Construction work item ITEM0292,kg,178.05,750.43,133614.06
ITEM0293,Construction work item ITEM0293,pcs,204.04,568.79,116055.91
ITEM0294,Construction work item ITEM0294,pcs,225.65,826.02,186391.41
ITEM0295,Construction work item ITEM0295,m2,80.8,53.02,4284.02
ITEM0296,Construction work item ITEM0296,kg,71.83,458.16,32909.63
ITEM0297,Construction work item ITEM0297,kg,95.07,227.93,21669.31
ITEM0298,Construction work item ITEM0298,m,159.45,909.9,145083.56
ITEM0299,Construction work item ITEM0299,m2,108.98,47.7,5198.35
ITEM0300,Construction work item ITEM0300,m2,149.63,176.6,26424.66
ITEM0301,Construction work item ITEM0301,m2,22.65,937.18,21227.13
ITEM0302,Construction work item ITEM0302,m2,143.87,484.23,69666.17
ITEM0303,Construction work item ITEM0303,m2,118.12,224.62,26532.11
ITEM0304,Construction work item ITEM0304,pcs,139.9,26.97,3773.1
ITEM0305,Construction work item ITEM0305,hr,232.07,295.62,68604.53
ITEM0306,Construction work item ITEM0306,m,18.2,156.18,2842.48
ITEM0307,Construction work item ITEM0307,m,149.1,168.8,25168.08
ITEM0308,Construction work item ITEM0308,m,29.72,940.62,27955.23
ITEM0309,Construction work item ITEM0309,hr,232.36,719.71,167231.82
ITEM0310,Construction work item ITEM0310,m2,163.7,255.25,41784.42
ITEM0311,Construction work item ITEM0311,hr,162.7,277.95,45222.46
ITEM0312,Construction work item ITEM0312,pcs,93.51,313.05,29273.31
ITEM0313,Construction work item ITEM0313,m,43.28,813.54,35210.01
ITEM0314,Construction work item ITEM0314,pcs,72.38,40.05,2898.82
ITEM0315,Construction work item ITEM0315,hr,72.0,293.78,21152.16
ITEM0316,Construction work item ITEM0316,hr,109.14,422.25,46084.36
ITEM0317,Construction work item ITEM0317,kg,171.98,733.46,126140.45
ITEM0318,Construction work item ITEM0318,m,235.64,544.04,128197.59
ITEM0320,Construction work item ITEM0320,hr,104.98,781.69,82061.82
ITEM0321,Construction work item ITEM0321,hr,107.89,463.14,49968.17
ITEM0322,Construction work item ITEM0322,hr,69.83,803.61,56116.09
ITEM0323,Construction work item ITEM0323,pcs,45.32,636.1,28828.05
ITEM0324,Construction work item ITEM0324,kg,211.45,689.29,145750.37
ITEM0325,Construction work item ITEM0325,hr,98.59,770.49,75962.61
ITEM0326,Construction work item ITEM0326,kg,136.91,110.31,15102.54
ITEM0327,Construction work item ITEM0327,m2,27.17,404.53,10991.08
ITEM0328,Construction work item ITEM0328,m2,238.63,387.0,92349.81
ITEM0329,Construction work item ITEM0329,m2,206.58,864.93,178677.24
ITEM0330,Construction work item ITEM0330,pcs,206.82,763.84,157977.39
ITEM0331,Construction work item ITEM0331,hr,109.75,492.71,54074.92
ITEM0332,Construction work item ITEM0332,m2,95.2,180.81,17213.11
ITEM0333,Construction work item ITEM0333,pcs,15.1,408.69,6171.22
ITEM0334,Construction work item ITEM0334,hr,49.04,619.27,30369.0
ITEM0335,Construction work item ITEM0335,m2,151.45,871.49,131987.16
ITEM0336,Construction work item ITEM0336,m2,150.33,922.92,138742.56
ITEM0337,Construction work item ITEM0337,kg,187.07,815.75,152602.35
ITEM0338,Construction work item ITEM0338,m,92.34,834.45,77053.11
ITEM0339,Construction work item ITEM0339,kg,5.75,194.67,1119.35
ITEM0340,Construction work item ITEM0340,hr,124.65,307.9,38379.74
ITEM0341,Construction work item ITEM0341,kg,66.97,860.26,57611.61
ITEM0342,Construction work item ITEM0342,m,121.31,66.09,8017.38
ITEM0343,Construction work item ITEM0343,m,135.04,959.85,129618.14
ITEM0344,Construction work item ITEM0344,m2,101.78,554.03,56389.17
ITEM0345,Construction work item ITEM0345,m,64.54,643.25,41515.36
ITEM0346,Construction work item ITEM0346,pcs,149.52,603.25,90197.94
ITEM0347,Construction work item ITEM0347,m,2.66,483.67,1286.56
ITEM0348,Construction work item ITEM0348,kg,55.61,222.15,12353.76
ITEM0349,Construction work item ITEM0349,hr,36.19,99.64,3605.97
ITEM0350,Construction work item ITEM0350,pcs,238.66,792.65,189173.85
ITEM0351,Construction work item ITEM0351,pcs,142.11,471.69,67031.87
ITEM0352,Construction work item ITEM0352,pcs,19.14,414.78,7938.89
ITEM0353,Construction work item ITEM0353,m2,228.55,105.64,24144.02
ITEM0354,Construction work item ITEM0354,kg,177.97,883.34,157208.02
ITEM0355,Construction work item ITEM0355,pcs,161.11,154.01,24812.55
ITEM0356,Construction work item ITEM0356,m,36.23,516.59,18716.06
ITEM0357,Construction work item ITEM0357,pcs,122.96,826.57,101635.05
ITEM0358,Construction work item ITEM0358,kg,196.28,116.21,22809.7
ITEM0359,Construction work item ITEM0359,m,190.7,321.98,61401.59
ITEM0360,Construction work item ITEM0360,pcs,170.0,782.67,133053.9
ITEM0361,Construction work item ITEM0361,hr,224.25,113.21,25387.34
ITEM0362,Construction work item ITEM0362,hr,145.75,414.88,60468.76
ITEM0363,Construction work item ITEM0363,kg,197.81,91.46,18091.7
ITEM0364,Construction work item ITEM0364,kg,95.82,954.58,91467.86
ITEM0365,Construction work item ITEM0365,m,182.25,604.94,110250.32
ITEM0366,Construction work item ITEM0366,m2,26.81,893.69,23959.83
ITEM0367,Construction work item ITEM0367,kg,30.83,12.41,382.6
ITEM0368,Construction work item ITEM0368,m,7.49,680.7,5098.44
ITEM0369,Construction work item ITEM0369,m,182.22,909.09,165654.38
ITEM0370,Construction work item ITEM0370,m2,200.84,804.1,161495.44
ITEM0371,Construction work item ITEM0371,kg,156.17,308.96,48250.28
ITEM0372,Construction work item ITEM0372,m2,82.53,529.99,43740.07
ITEM0373,Construction work item ITEM0373,m,205.82,455.17,93683.09
ITEM0374,Construction work item ITEM0374,kg,108.31,506.42,54850.35
ITEM0375,Construction work item ITEM0375,kg,148.93,362.73,54021.38
ITEM0376,Construction work item ITEM0376,hr,119.5,242.52,28981.14
ITEM0377,Construction work item ITEM0377,hr,204.46,896.68,183335.19
ITEM0378,Construction work item ITEM0378,m,119.84,725.09,86894.79
ITEM0379,Construction work item ITEM0379,kg,29.35,292.17,8575.19
ITEM0380,Construction work item ITEM0380,m2,189.95,812.65,154362.87
ITEM0381,Construction work item ITEM0381,m2,117.54,418.94,49242.21
ITEM0382,Construction work item ITEM0382,hr,240.34,390.19,93778.26
ITEM0383,Construction work item ITEM0383,m,44.66,214.33,9571.98
ITEM0384,Construction work item ITEM0384,hr,30.67,65.7,2015.02
ITEM0385,Construction work item ITEM0385,kg,244.89,28.56,6994.06
ITEM0386,Construction work item ITEM0386,m,164.3,480.1,78880.43
ITEM0387,Construction work item ITEM0387,pcs,17.47,604.36,10558.17
ITEM0388,Construction work item ITEM0388,pcs,19.53,682.53,13329.81
ITEM0389,Construction work item ITEM0389,kg,27.91,111.03,3098.85
ITEM0390,Construction work item ITEM0390,hr,49.62,339.61,16851.45
ITEM0391,Construction work item ITEM0391,m2,51.9,840.25,43608.98
ITEM0392,Construction work item ITEM0392,hr,228.38,172.85,39475.48
ITEM0393,Construction work item ITEM0393,pcs,233.86,978.07,228731.45
ITEM0394,Construction work item ITEM0394,m2,108.72,791.89,86094.28
ITEM0395,Construction work item ITEM0395,kg,184.7,499.65,92285.36
ITEM0396,Construction work item ITEM0396,m,179.67,780.25,140187.52
ITEM0397,Construction work item ITEM0397,hr,18.19,315.9,5746.22
ITEM0398,Construction work item ITEM0398,hr,19.08,750.53,14320.11
ITEM0399,Construction work item ITEM0399,m,95.07,921.68,87624.12
ITEM0400,Construction work item ITEM0400,m,186.91,216.0,40372.56
ITEM0401,Construction work item ITEM0401,m2,229.0,854.59,195701.11
ITEM0402,Construction work item ITEM0402,hr,133.46,181.58,24233.67
ITEM0403,Construction work item ITEM0403,pcs,19.73,281.95,5562.87
ITEM0404,Construction work item ITEM0404,m2,161.44,146.3,23618.67
ITEM0405,Construction work item ITEM0405,m,192.76,859.99,165771.67
ITEM0406,Construction work item ITEM0406,pcs,226.8,775.18,175810.82
